[BeGaze]
Converted from:	D:\Recorded Data\Experiment Data\EyeTrackMocapTest1\T-[82df3710-777d-459f-badf-b2f5e417ba82]\T-1-recording.idf
Date:	04.01.2016 17:52:00
Version:	BeGaze 3.5.101
Sample Rate:	30
Subject:	T
Description:	Run1

Table Header for Fixations:
Event Type,Trial,Number,Start,End,Duration,Location X,Location Y,Dispersion X,Dispersion Y,Plane,Avg. Pupil Size X,Avg. Pupil Size Y

Table Header for Saccades:
Event Type,Trial,Number,Start,End,Duration,Start Loc.X,Start Loc.Y,End Loc.X,End Loc.Y,Amplitude,Peak Speed,Peak Speed At,Average Speed,Peak Accel.,Peak Decel.,Average Accel.

Table Header for Blinks:
Event Type,Trial,Number,Start,End,Duration

Table Header for User Events:
Event Type,Trial,Number,Start,Description

Fixation B,1,1,657319109,657485164,166055,764.73,308.40,58,18,-1,123.20,81.70
Blink B,1,1,657518839,658084086,565247
Saccade B,1,1,658117412,658184449,67037,388.49,698.19,493.90,643.70,6.54,163.47,0.50,97.55,4446.14,2635.15,3540.64
Fixation B,1,2,658184449,658317668,133219,488.33,712.62,6,60,-1,119.25,114.88
Blink B,1,2,658317668,658616482,298814
Fixation B,1,3,658616482,658683185,66703,378.27,719.63,5,4,-1,126.75,123.25
Saccade B,1,2,658683185,658749566,66381,381.86,717.17,379.72,699.37,0.83,23.77,0.52,12.55,676.07,247.14,461.61
Fixation B,1,4,658749566,658816300,66734,379.31,702.57,1,4,-1,129.25,124.00
Saccade B,1,3,658816300,658882698,66398,372.07,695.36,365.46,705.64,0.98,16.79,0.51,14.72,620.48,370.45,495.47
Saccade B,1,4,658916176,658982738,66562,358.68,709.26,364.31,715.52,0.42,11.50,0.51,6.31,316.22,298.09,307.15
Fixation B,1,5,658982738,659082322,99584,364.38,713.61,5,5,-1,130.00,126.67
Saccade B,1,5,659082322,659182262,99940,363.53,708.20,377.17,716.32,1.42,24.37,0.50,14.19,1058.76,441.83,780.19
Fixation B,1,6,659215480,659515207,299727,372.15,717.34,6,12,-1,132.39,129.06
Saccade B,1,6,659515207,659614685,99478,407.97,722.90,362.02,712.06,3.87,55.07,0.50,38.93,3066.16,1387.17,1956.60
Fixation B,1,7,659614685,660647609,1032924,369.46,719.73,9,14,-1,133.52,129.91
Saccade B,1,7,660647609,660713177,65568,371.51,721.65,362.99,723.13,0.57,12.26,0.50,8.66,261.30,156.32,208.81
Saccade B,1,8,660746083,660812764,66681,361.73,726.70,360.23,733.12,0.44,9.11,0.50,6.56,312.32,294.17,303.25
Fixation B,1,8,660812764,661245369,432605,362.32,731.77,42,18,-1,130.07,127.89
Saccade B,1,9,661245369,661311837,66468,351.52,739.53,350.60,716.26,1.36,31.69,0.51,20.50,962.79,388.43,675.61
Fixation B,1,9,661311837,661411973,100136,332.17,698.48,18,12,-1,125.50,123.00
Saccade B,1,10,661411973,661478200,66227,325.29,692.05,325.60,678.85,0.64,18.20,0.50,9.72,518.32,172.87,345.59
Blink B,1,3,661512152,661744493,232341
Fixation B,1,10,661744493,661844653,100160,263.43,613.00,20,23,-1,120.00,115.83
Blink B,1,4,661910745,662709463,798718
Fixation B,1,11,662742726,663075632,332906,191.87,352.05,37,38,-1,117.45,91.45
