0,0
0.1,17
0.145,1
0.245,19
0.3,21
0.37,13
0.43,6
0.49,20
0.565,15
0.635,21
0.705,6
0.82,19
0.89,4
0.93,21
0.985,2
1.1,18
1.215,2
1.33,19
1.37,1
1.41,14
1.465,20
1.575,7
1.64,4
1.725,15
1.81,19
1.88,1
1.945,19
2.07,0
2.82,0
2.92,19
2.975,6
3.015,15
3.105,20
3.185,13
3.23,2
3.35,21
3.415,6
3.49,3
3.52,13
3.575,18
3.69,4
3.805,18
3.865,13
3.905,6
3.95,19
4.01,19
4.075,6
4.2,16
4.4,0
5.15,0
5.25,7
5.315,2
5.37,19
5.41,2
5.46,13
5.53,17
5.58,6
5.66,6
5.715,19
5.795,20
5.87,13
5.93,6
6.01,19
6.05,6
6.13,1
6.195,19
6.25,19
6.3,15
6.46,0
7.21,0
7.31,12
7.385,2
7.495,6
7.555,15
7.635,6
7.69,19
7.745,21
7.83,13
7.875,6
7.9,21
8.01,4
8.145,13
8.235,19
8.315,0
