0,0
0.1,2
0.195,19
0.29,6
0.36,20
0.415,20
0.48,21
0.545,1
0.685,19
0.725,6
0.78,15
0.88,1
0.935,19
1.025,6
1.08,15
1.155,7
1.225,1
1.305,19
1.355,19
1.39,1
1.425,13
1.455,18
1.545,1
1.605,14
1.735,0
2.485,0
2.585,21
2.625,1
2.675,19
2.71,2
2.8,18
2.865,19
2.935,4
3.01,18
3.05,1
3.09,13
3.135,21
3.19,6
3.255,19
3.325,4
3.4,19
3.445,6
3.515,7
3.59,4
3.66,13
3.735,4
3.835,14
3.935,15
4.075,0
4.325,15
4.47,8
4.56,21
4.63,2
4.77,1
4.825,21
4.925,6
4.975,19
5.035,6
5.1,1
5.145,19
5.235,6
5.32,15
5.39,1
5.435,19
5.48,19
5.515,18
5.58,4
5.645,13
5.72,6
5.81,6
5.86,19
5.925,18
6.04,3
6.175,13
6.265,21
6.38,19
6.455,0
