keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#Bone_Hips,keyFrameIndexBone#Bone_SpineA,keyFrameIndexBone#Bone_SpineB,keyFrameIndexBone#Bone_SpineC,keyFrameIndexBone#Bone_Neck,keyFrameIndexBone#Bone_Head,keyFrameIndexBone#Bone_Eye_L,keyFrameIndexBone#Bone_Eye2_R 1,keyFrameIndexBone#srfBind_Lf_Eye,keyFrameIndexBone#Bone_Eye_R,keyFrameIndexBone#Bone_Eye2_R,keyFrameIndexBone#srfBind_Rt_Eye,keyFrameIndexBone#Bone_Shoulder_L,keyFrameIndexBone#Bone_UpperArm_L,keyFrameIndexBone#Bone_Forearm_L,keyFrameIndexBone#Bone_Hand_L,keyFrameIndexBone#Bone_Fingers_L,keyFrameIndexBone#Bone_Thumb_L,keyFrameIndexBone#Bone_Shoulder_R,keyFrameIndexBone#Bone_UpperArm_R,keyFrameIndexBone#Bone_Forearm_R,keyFrameIndexBone#Bone_Hand_R,keyFrameIndexBone#Bone_Fingers_R,keyFrameIndexBone#Bone_Thumb_R,keyFrameIndexBone#Bone_UpperLeg_L,keyFrameIndexBone#Bone_LowerLeg_L,keyFrameIndexBone#Bone_Foot_L,keyFrameIndexBone#Bone_Toes_L,keyFrameIndexBone#Bone_FootNub_L,keyFrameIndexBone#Bone_UpperLeg_R,keyFrameIndexBone#Bone_LowerLeg_R,keyFrameIndexBone#Bone_Foot_R,keyFrameIndexBone#Bone_Toes_R,keyFrameIndexBone#Bone_FootNub_R
10,10,9,12,12,12,10,10,10,10,10,10,10,10,9,7,12,14,10,10,13,7,12,14,10,10,9,11,9,10,10,9,10,10,10,10
18,23,21,18,18,18,15,15,18,18,18,18,18,18,24,19,18,14,18,18,21,18,22,14,18,18,16,17,22,18,18,20,18,22,18,18
34,34,34,37,33,33,34,34,34,34,34,34,34,34,34,27,30,27,34,34,34,39,32,36,34,34,34,41,34,34,34,39,40,34,34,34
51,47,49,51,51,51,56,51,51,51,51,51,51,51,47,46,54,56,51,51,55,45,48,45,51,51,48,51,48,51,51,51,52,48,51,51
62,62,59,57,60,60,64,64,62,62,62,62,62,62,59,59,65,60,62,62,57,64,64,59,62,62,59,58,57,64,62,63,62,61,62,62
72,73,72,72,71,71,74,75,72,72,72,72,72,72,72,71,69,71,72,72,67,72,68,71,72,72,72,70,74,72,72,72,70,70,72,72
82,82,82,79,80,80,84,84,82,82,82,82,82,82,82,81,83,82,82,82,82,79,85,79,82,82,80,84,82,81,82,85,78,85,82,82
93,98,89,90,91,91,93,93,93,93,93,93,93,93,93,91,96,99,93,93,93,97,93,97,93,93,91,96,93,99,93,94,93,93,93,93
105,106,106,108,105,105,99,99,105,105,105,105,105,105,103,110,111,108,105,105,105,104,105,102,105,105,101,103,100,99,105,104,108,107,105,105
118,124,115,121,123,123,118,118,118,118,118,118,118,118,118,114,121,120,118,118,115,119,124,112,118,118,112,117,116,113,118,112,119,119,118,118
132,134,132,128,132,132,129,129,132,132,132,132,132,132,132,132,127,134,132,132,132,128,134,136,132,132,131,130,129,132,132,127,132,128,132,132
143,143,141,142,144,144,143,143,143,143,143,143,143,143,140,142,142,147,143,143,140,147,142,146,143,143,138,138,140,146,143,144,143,138,143,143
151,149,156,150,152,152,150,151,151,151,151,151,151,151,148,154,151,147,151,151,148,147,148,158,151,151,158,156,158,156,151,149,149,149,151,151
170,170,170,165,168,168,169,169,170,170,170,170,170,170,171,174,173,173,170,170,168,171,170,171,170,170,170,167,167,170,170,170,170,165,170,170
179,179,176,179,181,181,180,180,179,179,179,179,179,179,181,180,180,185,179,179,179,179,176,186,179,179,178,178,186,175,179,179,179,179,179,179
197,197,195,201,195,195,201,201,197,197,197,197,197,197,201,204,204,204,197,197,194,199,199,199,197,197,198,198,198,192,197,193,196,194,197,197
226,230,224,220,226,227,226,226,223,226,226,223,226,226,224,223,221,223,226,226,219,220,225,220,226,226,223,223,225,226,226,221,221,230,226,226
235,235,235,235,234,234,234,234,235,235,235,235,235,235,238,234,236,236,235,235,236,237,231,238,235,235,231,235,235,237,235,235,234,236,235,235
243,242,243,244,248,248,246,246,244,243,243,244,243,243,243,245,243,247,243,243,243,250,250,250,243,243,244,247,245,249,243,243,243,241,243,243
265,263,268,264,264,264,267,267,263,265,265,263,265,265,266,264,258,258,265,265,264,265,266,266,265,265,266,266,265,265,265,265,268,268,265,265
273,273,277,274,275,275,273,271,280,273,273,280,273,273,274,279,272,272,273,273,273,270,272,270,273,273,273,279,276,275,273,273,273,273,273,273
