0,0
0.1,15
0.235,8
0.435,0
0.685,2
0.78,12
0.855,1
0.935,18
0.98,1
1.035,15
1.165,6
1.215,14
1.29,6
1.355,20
1.47,7
1.535,4
1.62,15
1.705,19
1.78,1
1.84,19
1.965,0
2.715,0
2.815,20
2.89,1
2.93,19
2.98,6
3.045,7
3.1,19
3.195,4
3.27,14
3.345,21
3.425,6
3.54,7
3.63,2
3.685,19
3.735,17
3.78,1
3.835,7
3.91,4
4,17
4.04,1
4.09,13
4.18,6
4.245,15
4.335,14
4.38,2
4.475,20
4.535,2
4.695,19
4.75,15
4.845,2
5.045,19
5.12,0
5.87,0
5.97,2
6.075,19
6.135,8
6.235,19
6.28,19
6.33,20
6.395,4
6.47,19
6.51,2
6.66,19
6.72,21
6.78,1
6.91,19
7.06,0
7.31,15
7.45,8
7.54,2
7.65,12
7.72,1
7.805,18
7.87,19
7.94,8
8.095,2
8.225,19
8.295,6
8.39,1
8.575,0
