0,0
0.1,8
0.24,20
0.345,4
0.545,0
0.795,17
0.84,4
0.9,19
0.97,2
1.08,12
1.15,1
1.235,18
1.29,19
1.36,4
1.42,1
1.605,15
1.695,20
1.82,0
2.07,7
2.135,4
2.175,13
2.24,19
2.3,7
2.34,6
2.39,7
2.45,15
2.595,6
2.64,6
2.745,3
2.805,13
2.87,15
3,4
3.095,14
3.175,18
3.28,6
3.325,19
3.4,19
3.48,4
3.555,19
3.63,6
3.76,6
3.875,13
3.985,15
4.165,0
4.915,0
5.015,19
5.07,6
5.11,15
5.2,20
5.28,13
5.325,2
5.445,21
5.515,12
5.605,2
5.71,6
5.825,7
5.905,4
5.975,19
6.035,18
6.08,6
6.15,16
6.235,1
6.285,19
6.37,6
6.44,3
6.47,13
6.55,14
6.625,2
6.77,18
6.855,19
6.95,4
7.03,19
7.1,6
7.18,6
7.26,13
7.35,15
7.43,18
7.495,13
7.54,2
7.575,21
7.63,19
7.705,2
7.905,0
